key,en,hi
"supplierTripDetailNextStepReviewMessage","The trucker has uploaded POD. Review the proof and confirm delivery to close the trip.","Trucker ने POD upload कर दिया है। Proof review करें और trip close करने के लिए delivery confirm करें।"
"supplierTripDetailNextStepReviewTitle","Review and confirm delivery","समीक्षा करें और डिलीवरी की पुष्टि करें"
"supplierTripDetailNextStepTitle","Next step","अगला चरण"
"supplierTripDetailNotFoundSubtitle","This supplier trip is no longer available or you no longer have access to it.","यह सप्लायर ट्रिप अब उपलब्ध नहीं है या अब आपके पास इसका एक्सेस नहीं है।"
"supplierTripDetailNotFoundTitle","Trip not found","ट्रिप नहीं मिली"
"supplierTripDetailOpenLrDocumentAction","Open LR Document","LR दस्तावेज़ खोलें"
"supplierTripDetailOpenPodPhotoAction","Open POD Photo","POD फ़ोटो खोलें"
"supplierTripDetailPending","Pending","लंबित"
"supplierTripDetailPickupDateLabel","Pickup date: {date}","पिकअप तारीख: {date}"
"supplierTripDetailPodPhotoTitle","POD photo","POD फ़ोटो"
"supplierTripDetailPreviewUnavailable","Unable to open preview","प्रीव्यू खोला नहीं जा सका"
"supplierTripDetailProofDocumentsTitle","Proof documents","प्रमाण दस्तावेज़"
"supplierTripDetailProofGuidanceClosed","If you believe important proof was not considered before closure, start a fresh support follow-up only when you have genuinely new dispute context to raise.","अगर आपको लगता है कि closure से पहले important proof consider नहीं हुई, तो fresh support follow-up तभी शुरू करें जब आपके पास वास्तव में नई dispute context हो।"
"supplierTripDetailProofGuidanceInProgress","If this dispute depends on additional documents beyond the current single-image flow, summarize those missing proofs clearly in the related support ticket replies.","अगर यह dispute current single-image flow से आगे additional documents पर निर्भर करती है, तो उन missing proofs को related support ticket replies में साफ summarize करें।"
"supplierTripDetailRatingAlreadySubmitted","You already rated this trip.","आप इस ट्रिप को पहले ही रेट कर चुके हैं।"
"supplierTripDetailRatingFailureMessage","The supplier rating state is temporarily unavailable. Retry shortly before submitting a rating.","Supplier rating state अभी उपलब्ध नहीं है। Rating submit करने से पहले थोड़ी देर बाद फिर कोशिश करें।"
"supplierTripDetailRatingPrompt","Delivery is complete. Rate the trucker for this trip.","Delivery complete हो चुकी है। इस trip के लिए trucker को rate करें।"
"supplierTripDetailRatingSectionTitle","Rate this trip","इस ट्रिप को रेट करें"
"supplierTripDetailRatingSubmitFailureMessage","We could not submit this supplier rating right now. Review the rating and retry shortly.","अभी यह supplier rating submit नहीं हो सकी। Rating review करें और थोड़ी देर बाद फिर कोशिश करें।"
"supplierTripDetailRatingSubmittedOn","Submitted on {date}","जमा किया गया: {date}"
"supplierTripDetailRatingSubmittedSuccess","Rating submitted successfully.","रेटिंग सफलतापूर्वक जमा हो गई।"
"supplierTripDetailRatingUnavailableTitle","Rating unavailable","रेटिंग उपलब्ध नहीं है"
"supplierTripDetailSharedVisibilityClosed","Both parties can still follow the recorded dispute category, final workflow state, and visible support replies kept on this trip dispute.","दोनों parties recorded dispute category, final workflow state और visible support replies को इस trip dispute पर अभी भी follow कर सकती हैं।"
"supplierTripDetailSharedVisibilityInProgress","Both parties can follow the dispute category, workflow status, and support replies that are intentionally visible during review.","दोनों parties dispute category, workflow status और support replies को follow कर सकती हैं जो review के दौरान intentionally visible रखी गई हैं।"
"supplierTripDetailSubmitRatingAction","Submit Rating","रेटिंग जमा करें"
"supplierTripDetailTitle","Trip Detail","ट्रिप विवरण"
"supplierTripDetailTruckerLabel","Trucker: {name}","ट्रकर: {name}"
"supplierTripDetailTruckerTruckTitle","Trucker and truck","ट्रकर और ट्रक"
"supplierTripsAssignedLabel","Assigned {date}","असाइन किया गया {date}"
"supplierTripsEmptyActiveAction","Open my loads","मेरे लोड्स खोलें"
"supplierTripsEmptyActiveSubtitle","Trips will appear here once a load moves into assigned execution.","जब कोई लोड असाइन्ड एक्जिक्यूशन में जाएगी, तब ट्रिप्स यहाँ दिखाई देंगी।"
"supplierTripsEmptyActiveTitle","No active trips yet","अभी कोई सक्रिय ट्रिप नहीं है"
"supplierTripsEmptyCompletedAction","View active trips","सक्रिय ट्रिप्स देखें"
"supplierTripsEmptyCompletedSubtitle","Completed supplier trips will appear here once deliveries are closed out.","जब डिलिवरीज़ क्लोज आउट हो जाएँगी, तब पूर्ण सप्लायर ट्रिप्स यहाँ दिखाई देंगी।"
"supplierTripsEmptyCompletedTitle","No completed trips yet","अभी कोई पूर्ण ट्रिप नहीं है"
"supplierTripsLoadFailureMessage","We could not load your supplier trips right now. Retry shortly to refresh the latest trip list and statuses.","अभी आपकी सप्लायर ट्रिप्स लोड नहीं हो सकीं। नवीनतम ट्रिप सूची और स्थिति रिफ्रेश करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supplierTripsLoadFailureTitle","Unable to load supplier trips","सप्लायर ट्रिप्स लोड नहीं हो सकीं"
"supplierTripsSectionSubtitle","Track active movements and recent trip outcomes from one supplier execution surface.","एक ही supplier execution surface से active movements और recent trip outcomes ट्रैक करें।"
"supplierTripsSectionTitle","Supplier trips","सप्लायर ट्रिप्स"
"supplierTripsTrackTripAction","Track trip","ट्रिप ट्रैक करें"
"supplierTripsTruckerTruckLabel","Trucker {truckerId} - Truck {truckId}","ट्रकर {truckerId} - ट्रक {truckId}"
"supplierVerificationNeedsAttentionDescription","Review the latest verification feedback, update the required documents, and resubmit when you are ready.","Latest verification feedback review करें, जरूरी documents update करें, और तैयार होने पर फिर submit करें।"
"supplierVerificationPendingMessage","Your verification is under review. Keep documents ready in case the support team asks for clarification.","आपका वेरिफिकेशन समीक्षा में है। यदि सपोर्ट टीम स्पष्टीकरण मांगे तो दस्तावेज़ तैयार रखें।"
"supplierVerificationPendingTitle","Verification pending","सत्यापन लंबित"
"supportAdditionalProofGuidanceClosed","If you believe important proof was not considered before closure, start a fresh support follow-up only when you have a genuinely new issue or clarification to raise.","अगर आपको लगता है कि closure से पहले important proof consider नहीं हुई, तो fresh support follow-up तभी शुरू करें जब आपके पास वास्तव में नई issue या clarification हो।"
"supportAdditionalProofGuidanceInProgress","If your dispute depends on additional documents or screenshots beyond the current single-image flow, describe those missing proofs clearly in your visible reply so support knows what else to review.","अगर आपकी dispute current single-image flow से आगे additional documents या screenshots पर निर्भर है, तो missing proofs को visible reply में साफ़ लिखें ताकि support जान सके कि और क्या review करना है।"
"supportAttachmentGuidanceMessageClosed","If you still need to reference other supporting proofs after closure, open a fresh follow-up only when you have genuinely new context that was not captured on this ticket.","अगर closure के बाद भी दूसरे supporting proofs का reference देना है, तो fresh follow-up तभी खोलें जब आपके पास वास्तव में नई context हो जो इस ticket पर capture नहीं हुई थी।"
"supportAttachmentGuidanceMessageInProgress","If other supporting proofs are not attached here, summarize them in visible reply text so support can request or review them safely.","अगर दूसरे supporting proofs यहाँ attached नहीं हैं, तो उन्हें visible reply text में summarize करें ताकि support उन्हें safely request या review कर सके।"
"supportAttachmentVisibilityMessageClosed","Evidence attached to this reply. Raw file access may remain restricted even after the review outcome is recorded on this ticket.","इस reply में evidence attached है। Review outcome record होने के बाद भी raw file access restricted रह सकती है।"
"supportAttachmentVisibilityMessageInProgress","Evidence attached to this reply. Raw file access may remain restricted during review.","इस reply में evidence attached है। Review के दौरान raw file access restricted रह सकती है।"
"supportComposeAttachmentAddedSuccess","Attachment added successfully","अटैचमेंट सफलतापूर्वक जोड़ा गया"
"supportComposeAttachmentAttached","One evidence image is attached for support review.","सपोर्ट समीक्षा के लिए एक सबूत इमेज अटैच है।"
"supportComposeAttachmentFailureMessage","We could not attach that evidence image right now. Try another image or retry shortly.","अभी वह सबूत इमेज अटैच नहीं हो सकी। कोई दूसरी इमेज आज़माएँ या थोड़ी देर बाद फिर कोशिश करें।"
"supportComposeAttachmentOptionalTitle","Attachment (optional)","अटैचमेंट (वैकल्पिक)"
"supportComposeCategoryAccount","Account","खाता"
"supportComposeCategoryGeneral","General","सामान्य"
"supportComposeCategoryLabel","Category","श्रेणी"
"supportComposeCategoryLoad","Load","लोड"
"supportComposeCategoryOther","Other","अन्य"
"supportComposeCategoryPayment","Payment","भुगतान"
"supportComposeCategoryTechnical","Technical","तकनीकी"
"supportComposeCategoryTrip","Trip","ट्रिप"
"supportComposeNoAttachment","No evidence image attached yet.","अभी कोई सबूत इमेज अटैच नहीं है।"
"supportComposeRemoveAttachmentAction","Remove attachment","अटैचमेंट हटाएँ"
"supportCreateTicketAction","Create support ticket","सहायता टिकट बनाएँ"
"supportCreateTicketDescriptionHint","Explain what happened, what is blocked, and what follow-up you need.","बताएँ क्या हुआ, क्या ब्लॉक है, और आपको किस follow-up की ज़रूरत है।"
"supportCreateTicketDescriptionLabel","Describe the issue","समस्या का विवरण दें"
"supportCreateTicketDescriptionTooShortMessage","Describe the issue in at least 10 characters","समस्या को कम-से-कम 10 अक्षरों में लिखें"
"supportCreateTicketDetailsTitle","Ticket details","टिकट विवरण"
"supportCreateTicketFailureMessage","Your support request could not be prepared or submitted right now. Review the issue details and try again shortly.","अभी आपका support request तैयार या submit नहीं हो सका। Issue details review करें और थोड़ी देर बाद फिर कोशिश करें।"
"supportCreateTicketFailureTitle","Support request needs attention","सपोर्ट अनुरोध पर ध्यान चाहिए"
"supportCreateTicketHeroMessage","You can optionally include a related load or trip id if the issue is tied to a specific operational flow. You can also attach one evidence image if it helps support review the issue faster.","अगर समस्या किसी खास operational flow से जुड़ी है तो आप वैकल्पिक रूप से related load या trip id जोड़ सकते हैं। अगर इससे review तेज़ होगी तो आप एक evidence image भी attach कर सकते हैं।"
"supportCreateTicketHeroSubtitle","Describe your issue clearly so support can route it faster and keep your follow-up thread linked to the right context.","अपनी समस्या साफ़-साफ़ लिखें ताकि support उसे जल्दी route कर सके और आपका follow-up सही context से जुड़ा रहे।"
"supportCreateTicketHeroTitle","Open a support request","सपोर्ट अनुरोध खोलें"
"supportCreateTicketInvalidCategoryMessage","Select a valid support category","एक मान्य सपोर्ट श्रेणी चुनें"
"supportCreateTicketRelatedLoadIdLabel","Related load id (optional)","संबंधित load id (वैकल्पिक)"
"supportCreateTicketRelatedTripIdLabel","Related trip id (optional)","संबंधित trip id (वैकल्पिक)"
"supportCreateTicketScreenTitle","Create support ticket","सपोर्ट टिकट बनाएँ"
"supportCreateTicketSubmitAction","Submit ticket","टिकट सबमिट करें"
"supportCreateTicketSubmitFailureMessage","We could not create this support ticket right now. Review the details and retry shortly.","अभी यह support ticket बनाई नहीं जा सकी। Details review करें और थोड़ी देर बाद फिर कोशिश करें।"
"supportCreateTicketSubmittedSuccess","Support ticket created successfully","सपोर्ट टिकट सफलतापूर्वक बनाया गया"
"supportCurrentTrustStatusLabel","Current trust status","वर्तमान ट्रस्ट स्थिति"
"supportCurrentWorkflowTitle","Current workflow","वर्तमान वर्कफ़्लो"
"supportDetailUnavailableMessage","We could not load this ticket detail right now. Retry shortly to refresh the latest visible thread and workflow status.","अभी यह ticket detail लोड नहीं हो सकी। Latest visible thread और workflow status refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supportDetailUnavailableTitle","Ticket detail unavailable","Ticket detail उपलब्ध नहीं है"
"supportDisputeBannerMessageClosed","Category: {category}. This trip dispute has reached a final support outcome. Both sides can still follow the recorded ticket context, but raw evidence access may remain restricted.","Category: {category}. यह trip dispute final support outcome तक पहुँच चुकी है। दोनों sides recorded ticket context follow कर सकती हैं, लेकिन raw evidence access restricted रह सकती है।"
"supportDisputeBannerMessageInProgress","Category: {category}. This trip dispute is under active support review. Both sides can follow visible status updates, but raw evidence access may remain restricted during review.","Category: {category}. यह trip dispute active support review में है। दोनों sides visible status updates follow कर सकती हैं, लेकिन review के दौरान raw evidence access restricted रह सकती है।"
"supportDisputeBannerMessageWaiting","Category: {category}. This trip dispute is waiting on your clarification or proof. Both sides can follow visible status updates, but raw evidence access may remain restricted during review.","Category: {category}. यह trip dispute आपके clarification या proof का इंतजार कर रही है। दोनों sides visible status updates follow कर सकती हैं, लेकिन review के दौरान raw evidence access restricted रह सकती है।"
"supportDisputeBannerTitleClosed","Dispute review closed","विवाद समीक्षा बंद हो गई है"
"supportDisputeBannerTitleInProgress","Dispute review in progress","विवाद समीक्षा जारी है"
"supportDisputeBannerTitleWaiting","Dispute waiting for your reply","Dispute आपके reply का इंतजार कर रही है"
"supportDisputeCategoryAbusiveBehavior","Abusive behavior","दुर्व्यवहार"
"supportDisputeCategoryDamageOrShortage","Damage or shortage","Damage या shortage"
"supportDisputeCategoryDelayOrNoShow","Delay or no-show","Delay या no-show"
"supportDisputeCategoryDocumentMismatch","Document mismatch","दस्तावेज बेमेल"
"supportDisputeCategoryFakePayoutProof","Fake payout proof","नकली भुगतान प्रमाण"
"supportDisputeCategoryLabel","Dispute category: {category}","विवाद श्रेणी: {category}"
"supportDisputeCategoryLoadedQuantityMismatch","Loaded quantity mismatch","लोडेड मात्रा बेमेल"
"supportDisputeCategoryNonPayment","Non-payment","गैर-भुगतान"
"supportDisputeCategoryOther","Other","अन्य"
"supportDisputeCategorySpamOrScam","Spam or scam","Spam या scam"
"supportDisputeCategoryTripDispute","Trip dispute","ट्रिप विवाद"
"supportDisputeCategoryUnloadedQuantityMismatch","Unloaded quantity mismatch","अनलोडेड मात्रा बेमेल"
"supportEmptyThreadSubtitleInProgress","No visible thread is available yet while this ticket remains under active review.","जब तक यह ticket active review में है, visible thread अभी उपलब्ध नहीं है।"
"supportEmptyThreadSubtitleOpen","No visible thread has been posted on this support ticket yet.","इस support ticket पर अभी कोई visible thread post नहीं की गई है।"
"supportEmptyThreadSubtitleResolved","No visible thread was recorded before this ticket was resolved or closed.","इस ticket के resolved या closed होने से पहले कोई visible thread record नहीं की गई थी।"
"supportEmptyThreadSubtitleUnknown","No visible thread is available for this support ticket yet.","इस support ticket के लिए अभी कोई visible thread उपलब्ध नहीं है।"
"supportEmptyThreadSubtitleWaiting","No visible thread is available yet. Reply on this ticket so the review can continue.","Visible thread अभी उपलब्ध नहीं है। इस ticket पर reply करें ताकि review जारी रह सके।"
"supportEscalationPathLabel","Escalation path","एस्केलेशन पथ"
"supportEscalationPathSupplier","Supplier support","सप्लायर सपोर्ट"
"supportEscalationPathTrucker","Trucker support","ट्रकर सपोर्ट"
"supportEvidenceVisibilitySummaryClosed","Both parties can still follow the recorded dispute category, final workflow state, and visible support replies kept on this ticket.","दोनों parties recorded dispute category, final workflow state, और visible support replies को इस ticket पर अभी भी follow कर सकती हैं।"
"supportEvidenceVisibilitySummaryInProgress","Both parties can follow the dispute category, workflow status, and support replies that are intentionally visible on this ticket.","दोनों parties dispute category, workflow status, और support replies को follow कर सकती हैं जो इस ticket पर intentionally visible रखी गई हैं।"
"supportEvidenceVisibilityTitle","Evidence visibility","प्रमाण दृश्यता"
"supportHeroSubtitleSupplier","Use support to review dispute progress, payment follow-ups, and the latest visible ticket updates linked to your supplier activity.","सप्लायर गतिविधि से जुड़े विवाद प्रगति, भुगतान फॉलो-अप, और नवीनतम दृश्यमान टिकट अपडेट्स समीक्षा करने के लिए सहायता का उपयोग करें।"
"supportHeroSubtitleTrucker","Use support to review dispute progress, freight follow-ups, and the latest visible ticket updates linked to your trucker activity.","ट्रकर गतिविधि से जुड़े विवाद प्रगति, फ्रेट फॉलो-अप, और नवीनतम दृश्यमान टिकट अपडेट्स समीक्षा करने के लिए सहायता का उपयोग करें।"
"supportHeroTitle","Review your latest support activity","अपनी नवीनतम सहायता गतिविधि समीक्षा करें"
"supportIntroMessage","Follow your latest support and dispute tickets here, review visible workflow updates, and reply with any clarification or proof support requested.","अपनी latest support और dispute tickets यहाँ follow करें, visible workflow updates review करें, और support द्वारा मांगी गई clarification या proof के साथ reply करें।"
"supportLastUpdatedValue","Last updated: {value}","अंतिम अपडेट: {value}"
"supportLastVisibleUpdate","Last visible update: {value}","अंतिम दृश्यमान अपडेट: {value}"
"supportLastVisibleUpdateNone","Last visible update: No visible replies yet.","अंतिम दृश्यमान अपडेट: अभी कोई दृश्यमान उत्तर नहीं है।"
"supportLatestVisibleSender","Latest visible sender: {value}","नवीनतम दृश्यमान प्रेषक: {value}"
"supportLatestVisibleSenderNone","Latest visible sender: No visible sender yet.","नवीनतम दृश्यमान प्रेषक: अभी कोई दृश्यमान प्रेषक नहीं है।"
"supportLoadOlderTickets","Load older tickets","पुरानी tickets लोड करें"
"supportLoadingOlderTickets","Loading older tickets...","पुरानी tickets लोड हो रही हैं..."
"supportMyTicketsTitle","My tickets","मेरी tickets"
"supportNoActiveTickets","No active tickets","कोई सक्रिय टिकट नहीं"
"supportNoMessageTextProvided","No message text provided.","कोई message text उपलब्ध नहीं है।"
"supportNoTicketsSubtitle","Create a support ticket to start a new support or dispute follow-up and track future updates here.","नई support या dispute follow-up शुरू करने और future updates यहीं track करने के लिए support ticket बनाएँ।"
"supportNoTicketsTitle","No support tickets yet","अभी कोई support ticket नहीं है"
"supportNoVisibleThreadTitle","No visible thread yet","अभी कोई visible thread नहीं है"
"supportOpenLoadAction","Open load","लोड खोलें"
"supportOpenRelatedLoadAction","Open related load","Related load खोलें"
"supportOpenRelatedTripAction","Open related trip","Related trip खोलें"
"supportOpenTicketAction","Open ticket","Ticket खोलें"
"supportOpenTripAction","Open trip","ट्रिप खोलें"
"supportOpenedAt","Opened at: {value}","खोला गया: {value}"
"supportRelatedLoadValue","Related load linked","संबंधित लोड लिंक की गई है"
"supportRelatedTripValue","Related trip linked","संबंधित ट्रिप लिंक की गई है"
"supportRepliesClosedMessage","This ticket has reached a final support outcome and does not accept further replies.","यह ticket final support outcome तक पहुँच चुकी है और अब further replies स्वीकार नहीं करती।"
"supportRepliesClosedTitle","Replies are closed for this ticket","इस ticket के लिए replies बंद हैं"
"supportReplyFailureMessage","Your latest support reply could not be prepared or submitted right now. Review the message and try again shortly.","अभी आपकी नवीनतम सपोर्ट रिप्लाई तैयार या सबमिट नहीं हो सकी। मैसेज समीक्षा करें और थोड़ी देर बाद फिर कोशिश करें।"
"supportReplyFailureTitle","Reply needs attention","रिप्लाई पर ध्यान चाहिए"
"supportReplyGuidancePrimaryInProgressDefault","Reply with the next operational detail or clarification support asked for so the review can continue.","Support ने जो अगला operational detail या clarification मांगी है, वही reply करें ताकि review जारी रह सके।"
"supportReplyGuidancePrimaryInProgressDispute","Keep your next reply focused on the dispute timeline, proof gaps, and the clearest follow-up support should review.","अपनी अगली reply को dispute timeline, proof gaps, और support को किस follow-up पर ध्यान देना चाहिए इस पर केंद्रित रखें।"
"supportReplyGuidancePrimaryOpenDefault","Use your reply to explain the current blocker clearly so support can continue the review.","अपनी reply में current blocker साफ़ लिखें ताकि support review जारी रख सके।"
"supportReplyGuidancePrimaryOpenDispute","Use your visible reply to explain the dispute timeline, what proof is already attached, and what support should review first.","अपनी visible reply में dispute timeline, पहले से attached proof, और support को सबसे पहले क्या review करना चाहिए यह साफ़ लिखें।"
"supportReplyGuidancePrimaryResolved","This ticket is already resolved. Start a fresh follow-up only if a genuinely new issue appears.","यह ticket पहले ही resolved है। Fresh follow-up तभी शुरू करें जब वास्तव में नई issue सामने आए।"
"supportReplyGuidancePrimaryUnknown","Reply with the clearest next detail you can share if support requests more information.","अगर support और जानकारी मांगे तो सबसे साफ़ अगला detail reply करें जो आप साझा कर सकते हैं।"
"supportReplyGuidancePrimaryWaitingDefault","Reply with the missing clarification support requested so the ticket can continue moving.","Support ने जो missing clarification मांगी है, उसे reply करें ताकि ticket आगे बढ़ सके।"
"supportReplyGuidancePrimaryWaitingDispute","Reply with the missing clarification or proof support requested so the dispute review can continue without unnecessary delay.","Support ने जो missing clarification या proof मांगी है, उसे reply करें ताकि dispute review बिना अनावश्यक देरी के जारी रह सके।"
"supportReplyGuidanceSecondaryOpenInProgressDefault","Keep the reply concise, specific, and tied to the load or trip context support is reviewing.","Reply को concise, specific, और उस load या trip context से जुड़ा रखें जिसे support review कर रही है।"
"supportReplyGuidanceSecondaryOpenInProgressDispute","If proof is missing from the current single-image flow, summarize the rest clearly in visible text so support knows what else to request or review.","अगर proof current single-image flow में missing है, तो बाकी context को visible text में साफ़ summarize करें ताकि support जान सके कि और क्या request या review करना है।"
"supportReplyGuidanceSecondaryResolved","Keep the recorded resolution for reference and use a new ticket only for genuinely new follow-up.","Recorded resolution को reference के लिए रखें और नया ticket केवल genuinely new follow-up के लिए उपयोग करें।"
"supportReplyGuidanceSecondaryUnknown","Keep your reply clear and limited to the facts support can verify next.","अपनी reply को साफ़ और उन्हीं facts तक सीमित रखें जिन्हें support अगले step में verify कर सकती है।"
"supportReplyGuidanceSecondaryWaitingDefault","Answer the latest support prompt directly so the next review step is clear.","Latest support prompt का सीधा जवाब दें ताकि अगला review step साफ़ हो।"
"supportReplyGuidanceSecondaryWaitingDispute","If more than one proof matters, attach the strongest one first and summarize the remaining context in your visible reply.","अगर एक से ज़्यादा proof महत्वपूर्ण हैं, तो पहले सबसे मजबूत proof attach करें और बाकी context को visible reply में summarize करें।"
"supportReplyGuidanceTitle","Reply guidance","उत्तर मार्गदर्शन"
"supportReplyHint","Add the next detail or response support requested.","Support ने जो अगला detail या response मांगा है, वह जोड़ें।"
"supportReplyLabel","Reply to support","सपोर्ट को रिप्लाई करें"
"supportReplyMessageTooShortMessage","Reply must contain at least 2 characters","उत्तर में कम-से-कम 2 अक्षर होने चाहिए"
"supportReplySendAction","Send reply","रिप्लाई भेजें"
"supportReplySentSuccess","Reply sent successfully","रिप्लाई सफलतापूर्वक भेजी गई"
"supportReplyStatusReply","Reply","उत्तर"
"supportReplyStatusSubmitted","Submitted","जमा किया गया"
"supportReplySubmitFailureMessage","We could not send your reply right now. Review the message and retry shortly.","अभी आपकी रिप्लाई भेजी नहीं जा सकी। मैसेज समीक्षा करें और थोड़ी देर बाद फिर कोशिश करें।"
"supportResolutionOutcomeTitle","Resolution outcome","समाधान परिणाम"
"supportResolutionValue","Resolution: {value}","समाधान: {value}"
"supportResolvedOn","Resolved on: {value}","समाधान हुआ: {value}"
"supportRestrictedEvidenceMessageClosed","Raw attachments and sensitive proof may remain restricted even after the review outcome is recorded on the ticket.","Review outcome record होने के बाद भी raw attachments और sensitive proof restricted रह सकती हैं।"
"supportRestrictedEvidenceMessageInProgress","Raw attachments and sensitive proof may remain restricted while this review stays active on the ticket.","जब तक यह review active है, raw attachments और sensitive proof restricted रह सकती हैं।"
"supportScreenTitle","Support and dispute follow-up","सहायता और विवाद फॉलो-अप"
"supportSelectTicketSubtitle","Choose a support ticket from the list to review its visible thread, workflow state, and reply options.","Visible thread, workflow state, और reply options review करने के लिए list से एक support ticket चुनें।"
"supportSelectTicketTitle","Select a ticket","एक ticket चुनें"
"supportSelectedTicketAndReplyTitle","Selected ticket and reply","चुनी गई ticket और reply"
"supportSupportTeamLabel","Support team","सपोर्ट टीम"
"supportTicketIdValue","Support ticket on record","सपोर्ट टिकट रिकॉर्ड में है"
"supportTicketPriorityValue","{priority, select, low {low} medium {medium} high {high} urgent {urgent} not_set {not set} other {not set}}","{priority, select, low {कम} medium {मध्यम} high {उच्च} urgent {अत्यावश्यक} not_set {set नहीं है} other {set नहीं है}}"
"supportTicketReference","Support ticket on record","सपोर्ट टिकट"
"supportTicketStatusValue","{status, select, open {Open} in_progress {In progress} waiting_for_you {Waiting for you} resolved {Resolved} closed {Closed} unknown {Unknown} other {Unknown}}","{status, select, open {खुली} in_progress {Review में} waiting_for_you {आपके reply का इंतजार} resolved {समाधान हो गया} closed {बंद} unknown {अज्ञात} other {अज्ञात}}"
"supportTicketSummaryTitle","Support summary","सपोर्ट सारांश"
"supportTicketTitleAbusiveBehaviorReport","Abusive behavior report","दुर्व्यवहार रिपोर्ट"
"supportTicketTitleDamageOrShortageReport","Damage or shortage report","क्षति या कमी रिपोर्ट"
"supportTicketTitleDelayOrNoShowReport","Delay or no-show report","देरी या नो-शो रिपोर्ट"
"supportTicketTitleDocumentMismatchReport","Document mismatch report","दस्तावेज बेमेल रिपोर्ट"
"supportTicketTitleFakePayoutProofReport","Fake payout proof report","नकली भुगतान प्रमाण रिपोर्ट"
"supportTicketTitleLoadedQuantityMismatchReport","Loaded quantity mismatch report","लोडेड मात्रा बेमेल रिपोर्ट"
"supportTicketTitleNonPaymentReport","Non-payment report","गैर-भुगतान रिपोर्ट"
"supportTicketTitleOtherReport","Other report","अन्य रिपोर्ट"
"supportTicketTitleSpamOrScamReport","Spam or scam report","स्पैम या स्कैम रिपोर्ट"
"supportTicketTitleTripDisputeReview","Trip dispute review","ट्रिप विवाद समीक्षा"
"supportTicketTitleUnloadedQuantityMismatchReport","Unloaded quantity mismatch report","अनलोडेड मात्रा बेमेल रिपोर्ट"
"supportTicketUnavailableSubtitle","This support ticket is unavailable right now for the current account.","यह support ticket अभी इस account के लिए उपलब्ध नहीं है।"
"supportTicketUnavailableTitle","Ticket unavailable","Ticket उपलब्ध नहीं है"
"supportTicketsLoadFailureMessage","We could not load your support tickets right now. Retry shortly to refresh your latest support and dispute activity.","अभी आपकी support tickets लोड नहीं हो सकीं। Latest support और dispute activity refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supportTicketsUnavailableTitle","Support tickets unavailable","Support tickets अभी उपलब्ध नहीं हैं"
"supportTripReference","Linked trip","लिंक की गई ट्रिप"
"supportTrustBadge","Trust: {status}","ट्रस्ट: {status}"
"supportTrustStatusLoading","Loading trust status","Trust status लोड हो रही है"
"supportTrustStatusValue","{status, select, normal {Normal} warned {Warned} restricted {Restricted} suspended {Suspended} banned {Banned} unknown {Unknown} other {Unknown}}","{status, select, normal {सामान्य} warned {चेतावनी प्राप्त} restricted {प्रतिबंधित} suspended {निलंबित} banned {प्रतिबंधित} unknown {अज्ञात} other {अज्ञात}}"
"supportUpdatedAt","Updated at: {value}","अपडेट किया गया: {value}"
"supportViewingThisTicket","Viewing this ticket","यह ticket देखी जा रही है"
"supportVisibleAttachmentSummaryAbsent","Visible attachment summary: No visible replies include an attachment reference yet.","Visible attachment summary: अभी किसी visible reply में attachment reference नहीं है।"
"supportVisibleAttachmentSummaryPresent","Visible attachment summary: One or more visible replies include an attachment reference.","Visible attachment summary: एक या अधिक visible replies में attachment reference शामिल है।"
"supportVisibleRepliesCount","Visible replies: {count}","दृश्यमान उत्तर: {count}"
"supportVisibleThreadSummaryTitle","Visible thread summary","दृश्यमान थ्रेड सारांश"
"supportWaitingForReplyMessage","Reply on this ticket with the requested clarification or proof so the review can continue.","इस ticket पर requested clarification या proof के साथ reply करें ताकि review जारी रह सके।"
"supportWaitingForReplyTitle","Support is waiting for your reply","Support आपके reply का इंतजार कर रही है"
"supportWorkflowGuidanceInProgress","Support or operations are actively reviewing this ticket. Watch for visible replies and be ready to clarify the timeline or proof if more detail is requested.","Support या operations इस ticket को actively review कर रहे हैं। Visible replies देखते रहें और ज़रूरत पड़ने पर timeline या proof साफ़ रखें।"
"supportWorkflowGuidanceOpen","Support has received this ticket and review should begin shortly. Use visible replies to add any missing context if needed.","Support को यह ticket मिल चुकी है और review जल्द शुरू होनी चाहिए। ज़रूरत हो तो visible replies में missing context जोड़ें।"
"supportWorkflowGuidanceResolved","This ticket has reached a final support outcome. Review the recorded resolution before opening any fresh follow-up.","यह ticket final support outcome तक पहुँच चुकी है। नया follow-up खोलने से पहले recorded resolution review करें।"
"supportWorkflowGuidanceUnknown","Review the latest visible ticket updates for the current workflow state.","Current workflow state के लिए latest visible ticket updates review करें।"
"supportWorkflowGuidanceWaitingForUser","Support is waiting on your clarification or proof. Reply on this ticket so the review can continue without unnecessary delay.","Support आपके clarification या proof का इंतजार कर रही है। इस ticket पर reply करें ताकि review बिना अनावश्यक देरी के जारी रहे।"
"supportYouLabel","You","आप"
